name;commits;repos;company
o-orand;383;15;Orange
ArthurHlt;621;8;orange
poblin-orange;690;8;Orange
quentin-ol;19;6;Orange
ChristopheMaldivi;197;5;Orange
marcc-orange;339;4;Orange
pierrecregut;52;3;Orange
gberche-orange;294;3;orange
s-bortolussi;131;3;Orange
achazalet-orange;89;3;Orange
franckOL;32;2;Orange
arnaudmorinol;271;2;Orange Labs
arnaudruffin;173;2;independent
RenaudCazoulat;15;2;independent
splendf;5;2;Orange
GuiSaussay;8;2;Orange - IMT - Orange Vallée
TIM2015;53;2;Orange
Lausselloic;94;2;Orange
mlardenois-orange;31;2;Orange
NicolasMathieu;1;1;ORANGE
tmmorin;123;1;Orange
fbonelle;72;1;Orange
pcrepieux;127;1;independent
mathieuales;144;1;Orange
tans-OLabs;3;1;Orange
marianobelaunde;4;1;independent
BlancGuillaume;36;1;Orange
tao-xinxiu;149;1;Orange
boucherv-orange;33;1;Orange
landaisg;5;1;Orange
f-guichard;9;1;Orange
gbaccetta-orange;5;1;ORANGE SA
ymorin-orange;1;1;Orange
boisset;19;1;Orange
PascaleBorscia;316;1;Orange
bbert;445;1;Orange
matthieusalvat;13;1;Orange
PascalBodin;5;1;Orange
bbailleux;11;1;Orange labs
paulmusso;5;1;Orange
rbiard;10;1;Orange
davidblaisonneau-orange;247;1;Orange labs
elpaaso-ci;9;0;independent
ygatesoupe;34;0;Orange
camilleoudot;10;0;Orange Labs
morganrOL;7;0;Orange
ronanviel;7;0;Orange
ocochardorange;7;0;Orange
awailly-orange;6;0;Orange
marcbeaudoin;6;0;Orange
odd22;10;0;Orange Labs
Orange-cscetbon;5;0;independent
waitamer-orange;13;0;independent
emorvillez;1;0;Orange
EricPetit;17;0;Orange
mbrechet;25;0;SII
sandro-lex;44;0;Orange
chazemar;4;0;Orange
ecourreges-orange;50;0;Orange
vboesch;2;0;Orange
dgiampaglia-orange;107;0;Aepsilon
nicosang;203;0;Orange
antechrestos;208;0;Orange
manuSanchez;1;0;Orange
michel-train;1;0;independent
ceychene-orange;1;0;Orange
mcarnus;1;0;Orange
asanglard;1;0;Orange
v-boutes;1;0;Orange
cedricOL;1;0;independent
